Ob,X500.Level,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,WAB,YEAR,NCAA,Power.Rating,Adjusted.Tempo,W.P
500,NO,112.2,104.2,51.2,50,16.6,17.5,33.4,31.6,27.8,29.5,51.3,48.2,34.1,35.1,-6.4,2019,NO,LARGE,66.4,0.447903791
501,YES,114.3,99.1,52.3,48,16.9,16.7,30.2,31.5,29.1,35.4,50.8,47.1,36.9,33.2,3,2015,YES,LARGE,66.9,0.700624501
502,NO,95.4,104.5,45.8,51.2,18.2,17.1,23.4,28.5,32.6,30.2,45.3,49.8,31.1,35.6,-15.8,2019,NO,SMALL,68.8,0.203655754
503,YES,107.3,97.1,55.8,48.7,20.8,22,30.1,27.4,42.8,38.2,55,45.7,38.2,35.4,-0.7,2017,NO,LARGE,71.5,0.70125958
504,YES,101.9,108.1,49.5,49.3,19.7,18.7,33.8,34.6,46.8,33.1,50,48.5,32.2,34.4,-4.5,2015,NO,MEDIUM,63.7,0.571359767
505,NO,95.6,103.1,46.8,51.5,20.7,21.9,30.1,30.2,35.4,52.4,44.7,51.3,33.7,34.6,-10.4,2013,NO,SMALL,66.5,0.370213596
506,YES,110.4,108.4,54,52.9,17.3,15.7,28.1,26.5,33.4,30,49,50.2,40.3,38.7,-2.7,2016,NO,MEDIUM,70.3,0.528556278
507,YES,111.4,103,53.1,50.5,17.3,16.7,33,29.4,43.9,40.2,52.7,49.1,36,35.3,-2,2014,NO,LARGE,65.8,0.535711172
508,NO,96.4,103.6,45.3,51.2,18.5,20.8,27.9,31.2,36.1,38.6,44.8,49.2,30.8,35.9,-13.4,2016,NO,MEDIUM,65.3,0.256883247
509,NO,90.4,106.4,47.7,51.6,21.7,21.1,28.5,32,32.8,36.9,44.6,52.6,36.4,33,-13.8,2013,NO,SMALL,66.2,0.110982056
510,YES,95.3,98,47.5,46.9,21.9,22,35,30.5,40.3,41.8,47.5,44,31.7,35,-7.1,2013,NO,MEDIUM,67,0.605994287
511,NO,96.7,110.3,48.9,53.5,19.5,18,26.2,31.7,30.1,35.1,47.3,55.8,34.7,32.8,-12.5,2021,NO,SMALL,71.2,0.34517642
512,NO,97.4,108.3,44.8,51.5,17.8,20.4,28.2,30.3,41.2,45.5,44.3,49.9,30.5,36.5,-10.8,2018,NO,SMALL,75.1,0.457859682
513,YES,117.2,94.9,57,47.1,16.1,17.4,33,23.1,32.1,29.1,58.2,44.1,36.8,35,4.9,2018,YES,LARGE,70.5,0.820045486
514,YES,107,98.9,51.2,48,18.5,20.2,29.5,30.5,32.8,29.2,53.8,49.7,31.8,30.1,-1.7,2020,NO,LARGE,67.7,0.502279033
515,YES,99.4,104.1,49.7,47.4,17.8,20.7,28.8,28.7,38.6,42,46.1,47.2,37.4,31.7,-5,2021,NO,MEDIUM,67.9,0.713685305
516,YES,104.7,101.6,49.5,49.5,16.4,18.1,26.1,28.4,26.2,35.6,48,50,34.3,32.5,-8.8,2019,NO,MEDIUM,73.3,0.472720112
517,YES,100.7,97.6,51.9,43.4,20.1,20.1,26.7,29,42.4,40.4,51.7,42.2,34.9,30.9,-9,2015,NO,MEDIUM,64.7,0.337426631
518,YES,111.6,93.7,48.4,48.2,18.1,19.7,35.2,29,40.7,39.3,48.9,47.1,31.3,33.3,3.7,2015,YES,LARGE,65.7,0.631406153
519,YES,107.5,106.2,50.9,51.7,13.8,18.2,29,26.9,28.2,31.7,51.4,52,33.3,34.1,-7.2,2020,NO,MEDIUM,70.2,0.555353307
520,YES,125.2,90.6,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,10.7,2015,YES,LARGE,66.4,0.830532646
521,NO,92.5,113.3,46.7,54,21.2,20.2,31.5,32.5,33.3,34.6,44.6,52.2,35.1,38,-19.6,2017,NO,SMALL,66.5,0.099547745
522,YES,96.7,98.6,47.3,47.4,19.6,19.2,23.3,26.4,33,33,49,48.8,29.9,29.9,-8.7,2020,NO,MEDIUM,67.2,0.553346254
523,NO,106.4,110.3,51.3,51.9,18.3,18.1,29.3,35.4,41.6,31.9,48.3,54.1,36.7,31.9,-9.9,2014,NO,MEDIUM,65.5,0.391979628
524,NO,99.6,106.1,48.7,49.1,20.1,18.3,36.4,31.2,33.8,48,47.1,47.5,34.2,34.8,-12.4,2014,NO,MEDIUM,67.2,0.119246078
525,NO,98.9,103.5,47.5,52.7,20.8,20.9,32.8,29.7,38.2,42.3,45.9,52.7,34.3,35.1,-12.4,2016,NO,MEDIUM,68.2,0.165974457
526,NO,111.3,98,51.2,46.6,19.1,16.3,28.3,28.4,37.9,49.3,51.4,44.1,33.9,34.9,-4.2,2016,NO,LARGE,68.9,0.365055481
527,YES,96.6,98.3,50.8,46.1,22.5,17.7,27.7,28.2,29.4,36.6,50.8,47.9,33.8,28.8,-11.7,2020,NO,MEDIUM,69.2,0.412521994
528,NO,93.3,100.2,47.7,47.8,23.5,21.4,26.8,32.9,34.4,44.9,46.1,45.8,34.3,34.4,-15.1,2013,NO,MEDIUM,68.4,0.259573591
529,YES,122.8,99.6,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,59.1,45.3,40.6,36.5,6.6,2017,YES,LARGE,74.6,0.796217357
530,YES,99.4,97.2,48.6,48.3,18.6,21,28.7,25.3,35.3,29.9,47.7,45.8,33.5,34.7,-3.5,2018,NO,MEDIUM,69.3,0.742426987
531,NO,94.7,110.5,44.4,54.7,20.2,16.8,32.6,31.3,23.9,33.8,42.8,52,32.4,39,-11.7,2021,NO,SMALL,65.8,0.000287265
532,YES,100.8,104.9,49.4,50,20.4,24.7,31.7,39.6,43.9,38.9,47.8,50.9,35.2,31.6,-6.5,2013,NO,MEDIUM,62.7,0.510115581
533,NO,98.3,105,48,52.1,21.7,15.2,29.7,27.6,36.7,29.9,49.4,50.1,30.5,36.9,-15.2,2019,NO,MEDIUM,70.5,0.161502003
534,YES,107.1,106.3,53,49.8,19,17.2,29.4,31.2,41.5,31.8,50.2,49.8,38.9,33.3,-8.3,2017,NO,MEDIUM,69.8,0.50389855
535,YES,112.4,95.3,51.6,45.7,17.2,18.7,33.5,32.8,36.3,33.3,51.1,44.7,34.9,32.2,-2.5,2013,NO,LARGE,67.6,0.496263436
536,YES,106.8,111.5,54.7,52.8,15.9,18.4,24.7,34.5,42.3,45.6,54.1,52.4,37,35.7,-8.8,2014,NO,MEDIUM,61.6,0.498534931
537,NO,95.7,103.8,44,50.4,17.6,17.3,31.4,34.2,32.3,41.9,44.6,49.7,28.3,34.4,-15.9,2014,NO,SMALL,64.4,0.208453521
538,YES,104.9,99.4,51.6,44.9,20.2,16.4,34.1,25.3,28,36,50.8,40.8,35.6,35.6,-5.5,2020,NO,LARGE,67.8,0.528442535
539,YES,99.8,96.1,47.1,46.9,22.3,20.2,36.5,31.1,44.8,39.3,49.2,45.3,26.8,33.3,-1.6,2013,NO,LARGE,67.8,0.553289124
540,NO,95,99.1,47.5,52.4,20,19.5,21.8,28.6,25.9,37,46.9,50,32.3,38.2,-12.2,2016,NO,MEDIUM,67.8,0.184900002
541,NO,98.8,106.6,46.6,49.5,15.2,20.1,23.3,28.4,34.6,32.5,46.4,48.5,31.3,33.9,-8.8,2021,NO,SMALL,65,0.44177503
542,NO,95.1,114.3,45.8,51.3,19.5,18.2,29.8,31.5,37,48.5,44.8,51.7,31.8,33.8,-16.8,2016,NO,SMALL,68.7,0.31942729
543,NO,92.9,105.7,46.2,49.9,22.9,18.6,28.2,28.4,26.8,32.8,49.3,51.3,28.2,32.1,-16.1,2020,NO,SMALL,65.6,0.285696051
544,NO,98.4,107.8,50.1,51.7,18.3,17.4,24.7,28.4,38.5,35.4,48,52.2,35.7,34,-10.9,2016,NO,SMALL,71,0.340227953
545,YES,104.8,96.2,48.5,50.7,16.9,21.5,29.3,29.3,31.1,34.4,46,49.7,36.7,35.2,-4.6,2013,NO,LARGE,66.1,0.566159997
546,NO,102.7,102.6,49.9,51.1,18.9,17.8,28,26.2,22.6,30.2,51.6,46.4,31.4,38.1,-9.8,2021,NO,MEDIUM,66,0.421344754
547,YES,112.7,96.8,49.8,50,18.1,20.3,34.2,31.1,32.2,35.6,48.3,47.5,34.8,36.7,0.1,2018,YES,LARGE,70,0.371018028
548,NO,98.3,106.6,47.4,52.8,19.6,20.6,28.2,28.3,30.7,37.4,46.1,49.8,33.2,38.7,-11.8,2013,NO,SMALL,68.2,0.371628891
549,YES,109.1,102.5,56.5,52.1,16.6,16.7,22.7,24.6,34.3,27.8,55.8,53,38.2,33.7,-2.8,2019,NO,LARGE,67.5,0.522351918
550,YES,100.4,92.1,48.3,43.6,20.8,22.8,32.6,30.6,38,47.1,46.9,41,34.2,31.6,-3.4,2017,NO,LARGE,68.2,0.730156714
551,NO,100.1,98.7,47.9,47.4,22.9,21.4,34.8,32.6,40.7,39.5,46.9,44.3,34.6,34.4,-11.8,2013,NO,MEDIUM,64.1,0.33409227
552,NO,101.5,103.6,46.5,52,22.2,20.4,35,29.8,42.9,40.3,45,49.2,33.2,38.3,-10.2,2013,NO,MEDIUM,64.6,0.382734848
553,YES,112.8,93.3,55,46.6,19,16,28.6,23.3,27.8,29.4,54.5,45.5,37.3,32.4,3.3,2021,YES,LARGE,68.2,0.710380972
554,NO,100.3,108,49.3,53.3,18.3,20.3,30.5,28.9,42.6,38.9,49.2,51.7,33.1,37.6,-12.8,2015,NO,SMALL,74.2,0.333247519
555,YES,109,102,54.2,48.1,19.8,17.5,30.9,27.5,39.1,28.5,51.9,47.4,38.9,32.9,-4.1,2018,NO,LARGE,69.2,0.394931793
556,NO,93.1,108.2,46.8,53.7,22.2,22.3,28,34,31.4,42.5,47.9,56.1,29.9,32.9,-18.3,2020,NO,SMALL,71.8,0.2099135
557,YES,108,99.8,49.7,51.1,17.4,19.8,27.7,30.6,37.6,38.7,46.4,50.3,36.7,35,-3,2016,NO,LARGE,70.9,0.384196704
558,NO,96.8,111.5,45.6,51,21.1,17.3,34.8,31.9,38.4,39.7,45.3,48.6,30.8,37,-11.5,2016,NO,SMALL,66.5,0.337486296
559,YES,113.2,106.1,53.5,54.8,16.8,22,26.1,31,34.6,39.9,51.4,53.7,37.1,38.1,-6.1,2018,NO,LARGE,72.2,0.477159479
560,YES,123.1,90.9,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,8.9,2016,YES,LARGE,66.7,0.818911836
561,YES,107.4,99.5,51.9,50.7,14.3,21.2,21.8,29.4,29.5,39.7,50.7,50.3,35.8,34.2,-1.2,2019,NO,LARGE,72.3,0.526599106
562,NO,99.9,112.7,52.3,55.5,20.1,19.5,29.2,33.2,37.9,40.8,50.6,57.7,37.1,33.9,-15.5,2014,NO,SMALL,67.5,0.087579894
563,YES,105.5,102.8,51.2,48.6,18.7,17.3,30.2,25.7,33.6,38.8,50,49.1,35.4,31.9,-10.2,2018,NO,MEDIUM,68.5,0.544733757
564,NO,96,107.5,45.9,51,18.4,22.4,31.3,32.1,39,46.8,45.6,50.9,31,34.1,-15,2013,NO,SMALL,65.9,0.305037869
565,YES,114.9,88.7,55.2,43,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,3.7,2015,YES,LARGE,61.4,0.702358742
566,YES,102.1,108.8,48.8,48.3,18.3,16.6,29.5,32,32.8,35.9,46.9,48.9,34.6,31.5,-10.4,2015,NO,MEDIUM,63.6,0.367617055
567,YES,109.8,98.5,47.6,47,17.2,16.4,33.5,30.4,36.1,31.2,47.2,43.4,32.3,35.5,-3.8,2014,NO,LARGE,58.7,0.369492937
568,NO,97,108.4,47.4,54.7,20.5,19.4,27.2,28.2,30.6,39.7,45.9,53.4,33,38.1,-16.8,2020,NO,SMALL,69.7,0.259361316
569,NO,101.2,92.8,46.6,46.7,16.1,17.9,24.2,26.3,30.2,34,46.4,48,31.3,29.3,-5.7,2019,NO,LARGE,67.3,0.323152136
570,YES,107.8,97.9,55.7,46.2,21.8,19.5,31.2,28.2,41.7,36.8,55.7,44.5,37.1,33.8,-0.8,2013,NO,LARGE,65.6,0.472737896
571,YES,99.9,105.3,48.7,48,20.7,22.1,34.5,29.5,37.5,42.9,48.2,50.2,32.9,29.9,-6.3,2021,NO,MEDIUM,71.6,0.473248889
572,YES,96.3,101,49.3,52.7,21.9,23.3,25.5,27.7,37.8,35.4,48.1,51.3,33.9,36.1,-9.5,2018,NO,MEDIUM,66.7,0.48662761
573,NO,93.9,113.8,47.1,53.2,19.4,18.8,27.5,36.3,36.7,38,48.8,51.7,29.2,37.2,-18.2,2014,NO,SMALL,63.5,0.216034861
574,YES,109.8,117.8,51.7,53.5,14.7,15.2,26.7,34,34.6,32.6,48.5,53.9,36.4,35.1,-10.8,2017,NO,MEDIUM,76.3,0.493346437
575,NO,90,104,44.6,49.2,20.4,20.7,28.7,27,34.3,44,45.9,46.8,27.9,35.5,-14.5,2019,NO,SMALL,67,0.34943253
576,NO,103.4,99.6,46.7,53.2,19.8,22,32.2,31.3,27.9,39,47.2,52,30.5,36.8,-5.5,2021,NO,LARGE,74.5,0.232425015
577,NO,91.7,112.1,44.6,50.4,23.6,18.8,34.1,34.4,37.3,40.9,45.7,47.8,28.4,36.5,-18.2,2015,NO,SMALL,62.7,0.046977496
578,NO,97,108,48.2,49.9,19.5,16.7,26,31.5,27.8,37.6,45.6,51.3,34.9,29.9,-15,2015,NO,SMALL,64.4,0.205611951
579,YES,103.6,104.5,53.7,48.7,19.9,17.2,27.8,28.4,35.1,35.9,51.7,46.2,37.6,35.6,-6.8,2017,NO,MEDIUM,72.2,0.635911228
580,YES,103.6,91.3,49.8,44.6,22.9,19.3,29.2,28.9,34.8,35.7,51.2,45.7,31,28.3,-1.9,2020,NO,LARGE,69.9,0.359390548
581,NO,102.4,104.5,47.6,52,17.9,17.1,30.6,25.5,43.8,38.5,46.3,51,33.7,35.6,-12.2,2016,NO,MEDIUM,69,0.180983174
582,NO,101.4,98.4,45.7,49.2,21.8,20.1,34.6,32.6,46.1,36.5,44.5,48.2,32.3,33.9,-6.2,2015,NO,MEDIUM,62.4,0.352627811
583,YES,115.9,95.3,48.7,50.2,17,20.7,35.6,31.3,39.4,28.5,46.4,51.3,35.7,32.3,3,2021,YES,LARGE,69.6,0.556211629
584,YES,110.7,103.9,49.9,48.8,14.7,16.6,24,31.6,40.6,42,47.1,49.5,36.3,31.5,-5.8,2014,NO,LARGE,67.1,0.497835691
585,YES,111.2,97.6,52.1,50.8,17.7,24.2,30,33.4,32.9,34.5,50.1,48.3,37.2,36.8,-2.4,2015,NO,LARGE,68.1,0.477573894
586,YES,101.2,100.7,46.6,46.9,18.4,21.5,34,32.3,32,40.7,46.1,46.1,31.8,32.2,-9.3,2015,NO,MEDIUM,63.9,0.490397452
587,YES,104.7,103.7,49.4,49.5,18.3,18.5,34.3,26.1,31,34,50.6,50.5,32.1,31.8,-5.7,2021,NO,MEDIUM,64,0.556604671
588,NO,96.1,100.9,47.9,50.5,20,20.8,30.5,28.2,32,41.8,47.5,49.1,32.2,35.3,-12.7,2018,NO,MEDIUM,69.6,0.257391291
589,NO,96.8,103.8,46.7,50.8,22.8,17.5,32.3,28.1,29.6,34.2,45.7,50.5,32.3,34.1,-13.3,2019,NO,MEDIUM,69.1,0.35095497
590,YES,111.9,95.2,52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,49.7,44.9,38.6,32.7,2.2,2014,YES,LARGE,65.5,0.671044393
591,NO,103.3,98.1,50.3,48.5,14.6,17.6,21,25.5,22.9,26.1,48.1,48.6,35.2,32.2,-4.1,2020,NO,LARGE,65.4,0.448438087
592,YES,110.3,91.6,49.8,48.1,17.9,22.4,30.6,32.2,29.9,33.6,49.5,48.5,33.4,31.6,0.7,2019,YES,LARGE,64.3,0.540524015
593,NO,90.8,112.5,42.6,54.5,20.4,19,29.5,33.4,28.1,43.6,40.9,51.8,30.1,38.7,-21.2,2016,NO,SMALL,70.4,0.015394662
594,YES,106.1,99.8,56.9,49.4,19.8,17.9,25.3,25.6,35.1,33,57.6,51.1,37.3,30,-4,2018,NO,LARGE,68,0.585618313
595,NO,108.2,105.1,53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,53.1,42.8,36.6,40.2,-7.8,2016,NO,MEDIUM,73.6,0.301168006
596,NO,96.1,107.8,48.2,50.9,21.7,15.6,31.4,29,36.4,42.1,44.7,50.1,36.7,34.9,-18.6,2018,NO,SMALL,67.3,0.178644109
597,NO,104.5,111.5,49.2,49.8,18.9,14.5,27.4,29.2,52.1,40,47,48.5,35.1,35.4,-8.7,2014,NO,MEDIUM,67.1,0.256092168
598,YES,99.2,100.8,51.1,47.7,19.2,18.6,30,28.6,36,35.4,52.5,45.8,31.9,34.2,-7.4,2014,NO,MEDIUM,67.8,0.468663188
599,NO,91.5,102.3,42.8,46.5,21.7,17.4,38.4,29.3,28,40.1,38.3,46.5,34.1,31,-16.7,2016,NO,SMALL,69.6,0.249892286
600,YES,95.7,99.8,50,47.2,20.3,16.2,26.7,21.9,27.4,32.2,48.2,43.4,34.9,36.6,-10.7,2020,NO,MEDIUM,63.1,0.57962501
601,YES,101.6,101.8,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52,48,36.4,33.3,-1.4,2013,NO,MEDIUM,63.9,0.753260492
602,YES,113.8,109.5,51,52.6,14.7,19.5,35.2,31.7,43.8,35.1,50.6,52,34.6,35.8,0.2,2014,YES,LARGE,68.6,0.745243459
603,YES,114.6,98.9,53.2,50.4,16.9,18,30.3,27.7,34.4,28.2,53.7,49.7,35.2,34.3,3.6,2019,YES,LARGE,65.1,0.581225678
604,YES,109.1,98,48.7,48.5,16.7,19.7,34.5,30.4,42.6,34.3,47.6,48,34.1,33,-1.3,2015,NO,LARGE,68.9,0.60785775
605,YES,103.6,99.5,50.5,48.7,18.8,20.4,33,25.6,30.2,30.1,52.3,47.7,31,33.3,-3.2,2019,NO,LARGE,69.1,0.565936488
606,YES,91.8,97.3,48.3,49.4,22.2,24.9,25.8,30.8,30.7,41.5,46.9,48.5,33.4,34.2,-7.9,2013,NO,MEDIUM,64.2,0.385728568
607,NO,100.5,118.5,47.7,56.6,18.4,16.7,29.4,29.4,40.3,51.3,43,54.2,36.3,40.2,-22.9,2017,NO,SMALL,72.7,0.151923698
608,YES,103.1,98.7,49.5,49.6,19.3,21.6,29.4,27.2,36.7,36.2,50.3,50.3,31.6,32.4,-4,2019,NO,LARGE,64,0.678138536
609,YES,107.5,95.7,50.7,47.7,15.5,21.6,32.3,26.2,33,30.3,49.3,45.6,35.7,33.8,-0.9,2018,NO,LARGE,66,0.720427401
610,YES,107,98.1,52.6,48.7,16.8,19.1,27.3,22.2,35.9,27.5,51.6,46.3,35.9,35.1,-1,2019,NO,LARGE,66.7,0.651282912
611,YES,100.3,111.2,53.8,56.6,18.5,20.9,26.3,28.5,34.6,36.8,50.4,56.5,38.8,37.8,-11.8,2017,NO,SMALL,69.2,0.504404135
612,YES,99.3,103,49.2,48.3,19.4,20.6,30.3,33.1,51,46.1,48.7,48.3,33.5,32.2,-8.8,2015,NO,MEDIUM,63.1,0.434866659
613,YES,100.8,97.7,45.5,46.1,17.6,17.3,30.7,30.3,43.2,39.6,46.3,44.9,29.1,32.3,-5.1,2016,NO,MEDIUM,72.2,0.427539633
614,NO,99.1,110,47.4,50.7,20.1,16.6,30.1,31.8,49.5,40.7,44.6,49.3,35.1,35.4,-9.7,2014,NO,SMALL,63.5,0.453046248
615,YES,115.7,85.7,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,4.1,2013,YES,LARGE,62.8,0.713795497
616,NO,94.3,121.1,48.2,53.9,20.7,18.5,25.7,36.9,33.1,34.7,45.9,55,34.7,34.7,-25.2,2020,NO,SMALL,70.1,0.114230636
617,NO,94.6,118.8,46.6,56.4,19.7,19.5,30.4,33.9,33.5,37.8,44.9,56,34.3,38.1,-18.2,2017,NO,SMALL,72.4,0.158724967
618,NO,97,102.2,49.1,48.3,19.1,16.8,24.5,27,38.5,35.7,50.3,48.5,30.8,32,-9.7,2019,NO,MEDIUM,71.1,0.301208841
619,YES,112.4,98.8,56.2,49.1,19.2,17,30.9,24.5,33.1,31.2,57.4,46.9,36,35.6,-2.3,2017,NO,LARGE,69.8,0.652786316
620,NO,94.3,105.6,49.8,50.7,21.6,19,28.5,32,24.1,34.1,50.7,48.9,32.2,35.1,-15.9,2018,NO,SMALL,67.4,0.150047866
621,NO,91.9,104.1,46.8,49.6,20.5,20.8,21.2,35.6,38,36.7,46.4,49.6,31.5,33.1,-19.9,2015,NO,SMALL,65.3,0.151023435
622,NO,87.8,109.6,45,49.2,23.8,20.2,27.7,37.4,30.1,53.7,44.7,49.6,30.3,32.3,-17.8,2016,NO,SMALL,65.8,0.052312094
623,NO,103.7,102.3,48.9,50.4,21.8,18.4,29.5,28.3,42.8,33.1,47.2,48.2,34.3,35.9,-6.2,2017,NO,MEDIUM,69.6,0.36963006
624,NO,93,106.5,45.2,49.4,21.9,21.2,33.4,30.3,40.3,55.8,45.6,47.9,29.3,34.7,-15.3,2014,NO,SMALL,67.1,0.290488721
625,NO,96.1,117.1,45.7,51.7,19.7,19.7,31.8,38.7,34.1,53.4,41.3,51.1,35.8,35.3,-20.5,2014,NO,SMALL,62.4,0.107148362
626,YES,112.2,100.6,52.7,49.1,18.3,19.6,35.9,27.9,38,36.1,52.4,48.5,35.4,33.6,-0.5,2018,NO,LARGE,71.6,0.76106126
627,YES,101.3,99.3,47.1,49.3,19.5,18.3,33.8,27,45.8,35.1,46.6,47.7,32,34.8,-7.9,2018,NO,MEDIUM,65.3,0.4281002
628,YES,104.4,104.2,52.6,49.4,20.7,16.6,31.2,28.5,33.4,34.4,50.8,45.1,37.2,37.8,-8,2017,NO,MEDIUM,65,0.60826888
629,YES,101.3,105.5,49.1,50.3,18.1,20.9,34.8,28.1,28,44.3,49.7,49.3,31.8,34.5,-5,2021,NO,MEDIUM,65.3,0.511424392
630,NO,97.6,112.2,46.3,58.9,19,17.9,17.8,30.8,33.9,23.3,43.6,60.6,33.8,37.6,-9.4,2021,NO,SMALL,71.3,0.110055862
631,NO,104.8,112.2,52.5,53.3,18.5,15.7,24.4,30.2,35.1,28.8,54,49.9,33.4,39.3,-10.9,2018,NO,MEDIUM,70.6,0.438949929
632,NO,102.1,100.7,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,48.8,49,33,31.3,-8.7,2016,NO,MEDIUM,71.6,0.428045116
633,YES,104.4,102.5,49.8,49,18.9,18.1,26,31.5,33.8,38.3,49.4,50.3,33.6,31.3,-5.9,2018,NO,MEDIUM,70.1,0.530398466
634,NO,108.5,102.2,50.3,52.4,17.7,20.5,27.4,32.8,36.2,39.3,47.5,50.5,36.4,37.4,-5.1,2017,NO,LARGE,74.5,0.337925225
635,YES,104.1,102.9,48.2,50.1,17.9,19,38.1,29.8,32.5,34.3,48.5,48.5,31.7,35.3,-7.2,2017,NO,MEDIUM,69.5,0.556446958
636,NO,95.9,105.1,50.7,52.6,20.7,21.4,26.1,28.9,23.9,40.1,49.5,51.2,35,36.6,-17.8,2019,NO,SMALL,69.3,0.180494767
637,YES,120.6,96.4,55.2,48.4,15.9,17.6,23.9,30.2,28.8,23.4,53,48.9,38.7,31.8,6.1,2020,YES,LARGE,68.3,0.670634111
638,NO,98,107,46.3,50.8,17.4,13.7,28.4,21.4,30.5,41.5,44.3,50.6,32.6,34.1,-16,2018,NO,SMALL,66.7,0.313550094
639,NO,99.8,108,48.6,50.9,18.6,17.8,25.6,30.9,32.3,31.4,44.7,51.7,36.2,33.1,-14.4,2018,NO,SMALL,73.2,0.420865696
640,YES,102.4,108.2,51,51.9,19.5,21,31.2,29.4,40.3,42.2,49.3,53.1,35.8,32.9,-10.7,2017,NO,MEDIUM,69.2,0.490410248
641,YES,102.8,106.2,55.7,52,18.5,21.5,19.6,30.9,33.8,30.5,55.4,55.4,37.4,31,-6.7,2021,NO,MEDIUM,64.2,0.50277568
642,YES,97.9,103.9,50.5,49.9,23.2,18,33.4,24.5,40.2,25,52.9,46,30.9,37.2,-8.8,2021,NO,MEDIUM,63.9,0.524894093
643,YES,94.8,102.3,48,51,21.4,22.1,30.4,31,29.1,31.4,49.1,48.9,30.9,36.2,-10.5,2021,NO,SMALL,66.9,0.478122739
644,YES,108,87.5,50.4,45.5,17.6,23.6,27.9,29.1,44,35,50,44.1,34,33.1,3.8,2013,YES,LARGE,64.7,0.672230576
645,YES,107,101,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25,53,49.1,38.6,34.4,-4.6,2015,NO,LARGE,63.6,0.610235296
646,YES,117.9,96.7,52.8,51.8,13.5,19,27.9,24.8,30,25.8,52.8,51,35.2,35.4,3.2,2021,YES,LARGE,65.1,0.664185703
647,NO,92.3,116.7,46.5,53.2,18.5,18.9,26.3,34.7,37.6,33.9,44.7,52.5,33.9,36.1,-20.2,2017,NO,SMALL,71.2,0.138648056
648,NO,91.2,105.7,47,50.9,20.9,22.1,24.8,30.6,32.7,44.5,49.1,50.9,28.8,34,-16.3,2021,NO,SMALL,71,0.056854653
649,YES,107,96.8,54.4,45.1,18,16.6,34.1,24.9,34.5,21.8,53.8,44.8,37,30.6,-3.6,2021,NO,LARGE,71.4,0.604951499
650,YES,104.8,102.1,49,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50,46.8,31,33.9,-3.2,2013,NO,MEDIUM,73,0.54764839
651,YES,105.2,109.8,51,53.4,17.4,17.1,29.8,31.8,37.7,29.1,50.4,51.9,34.6,37.8,-7.7,2015,NO,MEDIUM,68,0.424568467
652,YES,92.7,101.4,47.1,47.7,20.6,21.4,28.5,30.4,41.4,42,48.4,50.2,29.6,29.2,-9.9,2020,NO,SMALL,73.3,0.480703904
653,NO,100.1,106.6,47.7,51.4,18.6,18.8,31.6,29.3,34.9,39.7,46,51.1,33.5,34.7,-10.3,2016,NO,MEDIUM,70.1,0.445590505
654,NO,107.6,102.4,53.9,51.8,17.3,18.5,23.5,24.4,31.8,33.6,54.7,52,35.2,34.3,-11.9,2019,NO,LARGE,66.9,0.267993769
655,YES,104.8,88.6,49.3,46.4,21.4,22,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,2.9,2013,YES,LARGE,69.2,0.719455517
656,YES,99.2,101,52.2,52.4,18.2,19.5,22.7,24.5,29.3,23.7,54.3,50.5,32.7,36.7,-5.2,2021,NO,MEDIUM,68.6,0.515296647
657,NO,91.6,105,46.3,45.2,19.8,20.2,27.6,34.2,41.5,54.6,45,44.5,32.3,31.4,-12.4,2014,NO,SMALL,65.8,0.355195206
658,NO,103.1,111.9,50.7,51,16.9,16.1,23.3,28.6,37.5,29.9,50.4,50,34.1,34.9,-12.2,2020,NO,SMALL,67.8,0.410817278
659,YES,94.9,104,50,45.1,22.1,18,25.8,29.4,43,42.3,45.5,44.7,40.2,30.6,-11.5,2019,NO,SMALL,70.7,0.484468635
660,NO,94.4,114.4,48.3,52.1,20.8,17.9,27.1,33.1,33.7,40.1,47.8,50.4,32.7,36.3,-16.4,2018,NO,SMALL,69.2,0.301439954
661,NO,97.3,108.5,50.1,54.1,21.3,21.3,30.2,29.8,34.2,37.6,48.7,51.2,35,38.9,-15.3,2013,NO,SMALL,60.2,0.340600317
662,YES,101.8,101.6,48.3,45.2,22.2,16.2,39.2,31.9,40.3,37.6,48.7,42.8,31.4,33.9,-6.9,2013,NO,MEDIUM,66.3,0.475349984
663,NO,101.8,108.9,49.6,52.6,17.3,17.4,22.9,25.9,27.9,42.1,46.4,50.6,35.2,36.9,-14.5,2020,NO,MEDIUM,66,0.384478695
