Ob,X500.Level,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,WAB,YEAR,NCAA,Power.Rating,Adjusted.Tempo
176,NO,93.1,104.7,45.7,49.8,19.9,19.1,26,29.9,30,34.1,44.9,47.9,31.6,35.1,-16.3,2017,NO,SMALL,69
177,NO,97.3,113.2,47.7,52.6,18.3,16.4,23.3,32.7,28.3,32.8,45.9,51.7,34.7,36.3,-19.3,2018,NO,SMALL,67
178,YES,99.1,101.4,50.1,49.9,19.5,19.9,26.3,24.5,40.8,38.7,50.9,50.1,32.5,33.1,-8.5,2018,NO,MEDIUM,69
179,NO,104.6,107.5,49.6,53.7,20.7,18.7,32.2,30.4,40.3,28.6,48.4,52.5,35.1,37.5,-10.2,2018,NO,MEDIUM,73.1
180,YES,103.2,100.8,52,49.4,18.6,21.9,24.4,29.1,38.5,36.5,50.7,49.2,36.6,33,-4.4,2018,NO,MEDIUM,67.5
181,YES,99.4,97.3,48.1,45,20.5,14.8,32.3,24.8,28.2,41.2,47.5,42.9,33,32.8,-9.1,2018,NO,MEDIUM,68.2
182,NO,96.9,111.8,51.2,54.4,20.3,16,25.1,26.5,22.7,33.4,47.2,53.7,38,37.2,-18.2,2019,NO,SMALL,64.8
183,YES,103.2,105.7,50.3,49.7,16.8,16.6,33.1,26.2,39.5,32.4,49.4,50.8,34.8,31.8,-6,2019,NO,MEDIUM,65.9
184,NO,98.2,104.1,45,50.1,17,18.5,27.5,31.2,33.1,35.7,42.6,49,33,35.1,-12.5,2015,NO,MEDIUM,61.2
185,YES,108.7,104.6,52.3,49.5,16,19.6,32.7,28.4,39.8,38.7,50.9,48.8,36.2,33.9,-8.3,2015,NO,LARGE,69.4
186,YES,103.1,107.6,51.9,50.2,20.3,17.9,29,31.9,42.2,31.9,49.7,48.2,37.2,35.7,-7.2,2015,NO,MEDIUM,64.7
187,YES,100.5,99.7,47.5,47.9,18,20.4,31,32.4,37.5,47.4,46.3,46.9,34,33.5,-6.8,2015,NO,MEDIUM,67.9
188,NO,98.8,105.7,44.3,52.5,16.8,18.1,27.7,28.8,36.9,47.4,42.3,51.5,32.7,36.5,-16.4,2016,NO,MEDIUM,65.5
189,NO,105,105.2,51.8,50.3,17.7,15.8,27.2,29.8,30.4,33.4,52.5,49.1,33.9,35.3,-8.5,2016,NO,MEDIUM,72.4
190,YES,110.1,102.9,51.4,49.9,16.7,16.4,31.9,30,39.5,24,50.1,48.3,35.6,35.3,-1.6,2016,NO,LARGE,70.4
191,YES,106,98.7,51.6,45.5,17.2,15.4,29.5,27,37,37,50.9,47.3,35,28.7,-4.3,2016,NO,LARGE,67.7
192,YES,106.2,102.3,51.7,51.7,18.2,17.2,25.9,28.8,38.7,27.9,48.5,52,37.2,33.9,-7,2016,NO,LARGE,66.2
193,NO,97.5,107.2,46.8,53.2,17.9,15.2,27.1,27.5,32.2,40,47.8,51.6,30,37,-13.7,2017,NO,SMALL,66.4
194,NO,101.9,108.8,49.9,53.1,18.5,17.4,30.4,30.5,31.6,39.9,48.5,52.6,34.9,36,-17.3,2017,NO,MEDIUM,71.9
195,NO,105.2,106.5,53.5,52.1,18.5,17,25.7,27,37.8,31,52.4,50.7,36.7,36.4,-8.9,2017,NO,MEDIUM,67.7
196,NO,101.8,108,50.3,52.9,15.8,14.9,26,26.2,34.4,29.6,50.7,51.2,32.9,37,-13.8,2018,NO,MEDIUM,66.9
197,NO,102.3,110.2,49.6,52.2,17.3,15.6,30.8,30.7,31.8,30.6,50.2,51.1,32.2,36.3,-14.5,2018,NO,SMALL,70.1
198,NO,102.6,110.7,52.3,52.5,16.7,14.2,21.7,28.9,24,23.6,52.5,50,34.7,37.1,-12,2018,NO,SMALL,68.5
199,YES,104,105.5,51.6,50.6,18.2,18.7,34.3,27.4,35.4,39.3,51.1,49.4,35.3,35,-9.1,2018,NO,MEDIUM,69
200,NO,104.3,110.6,48.9,56.6,17.3,15.6,33.8,25.5,31.1,36.9,47.4,54.8,34.5,39.6,-14.9,2018,NO,MEDIUM,73.3
201,YES,103.4,112.1,53.3,52.8,17.2,14.9,24.2,28.8,31.2,28.6,50.9,49.9,37.8,38.4,-11.1,2019,NO,SMALL,64.8
202,NO,103.1,112.9,51.3,55.6,16.6,14.6,29.2,26.3,30.6,30.3,50.9,54.7,34.7,38.2,-13.6,2019,NO,SMALL,70.7
203,YES,114.7,108.6,55.9,52.1,13.8,18.3,26.8,29.9,37.7,25,54.5,51.5,38.7,35.3,-1.9,2019,NO,LARGE,69
204,NO,99.6,109.6,47.9,52.1,18.8,15.2,35.2,27.3,28.1,33,47.6,50.8,32.6,35.7,-16.9,2019,NO,SMALL,64.8
205,NO,103.8,113,50.5,56,18.5,14.5,31.7,26.7,32.8,31.9,49.3,54.4,35,38.8,-16.7,2019,NO,SMALL,70.6
206,NO,94.8,102,46.2,48.6,21.6,18.6,28.2,32.5,34.9,36.6,45.9,49.1,31.1,31.7,-14.7,2015,NO,MEDIUM,70.4
207,NO,100.4,103.8,51.7,49.9,22.1,19.6,26.5,32.2,33.7,40.1,47.6,49,37.3,34.5,-13.2,2015,NO,MEDIUM,62.3
208,NO,104.2,108.7,47.9,52.9,18.2,20.3,35.2,31.3,42.1,29.7,47.3,51.5,32.7,36.7,-11.3,2015,NO,MEDIUM,66.2
209,NO,102.2,107.3,52,48.1,19.3,14.2,30.8,29.4,35.6,35.7,50.7,47.1,36.8,33.1,-14.6,2016,NO,MEDIUM,66
210,NO,95,107.9,46.7,50,17.6,16.6,23.1,32.9,32.3,37.7,44.2,49,34.1,35.4,-17.3,2016,NO,SMALL,68.4
211,YES,102.7,102.8,51.3,49.2,16.9,19,28.8,29,43,34.1,52,49.7,33.3,32,-4.3,2016,NO,MEDIUM,72.5
212,YES,105.5,97.9,47.9,45.5,14.4,17.2,36.6,27.1,31,35.8,48.7,44.4,30.1,31.5,-6.5,2016,NO,LARGE,62.2
213,NO,94.6,109.5,49.4,51.6,20.3,17.7,23.3,29.4,36.1,38.9,45.2,50.2,35.9,35.5,-15.9,2016,NO,SMALL,64.1
214,NO,96.9,116,47,59,18.1,17.2,26,27.8,37.4,46.2,46.5,57.2,32.1,41.3,-20.4,2016,NO,SMALL,73.1
215,YES,109.5,108.6,53.6,51.5,15.9,16.8,24.4,32.8,37.1,31,51.8,51.3,37.4,34.6,-7.4,2017,NO,MEDIUM,78.9
216,NO,95.9,109.6,47.4,50.4,18.4,17.8,26.5,31.2,34.9,35,47.3,49.6,31.7,34.6,-17.6,2017,NO,SMALL,71.2
217,NO,92.4,109.2,45,52.2,18.1,16.6,22.3,25.8,29.3,33.9,45.4,49.4,29.6,37.4,-16.7,2017,NO,SMALL,66.9
218,NO,94.7,102.3,42.6,49.7,18.1,17.6,32.4,24.2,36.2,37.9,43.7,48.4,26.7,34.8,-13.3,2017,NO,SMALL,69.5
219,YES,104.7,107.9,50.3,56,14.6,19.8,20.5,29,28.3,32.9,49.8,55.1,34.1,38.1,-9.9,2018,NO,MEDIUM,66.3
220,YES,113.8,100.7,54.2,49.4,16.6,17.9,29,29.3,40,23.9,54.6,46.7,35.4,36,-1.2,2018,NO,LARGE,69.5
221,YES,105.5,106,51.9,52,15.9,20.8,22.9,32.3,30.5,32.4,52.3,51.4,34.2,35.5,-6.4,2019,NO,MEDIUM,75.7
222,YES,97.4,97.6,49.2,47.4,20.1,19.8,30.7,24.4,27.7,37.7,50.5,46.4,31.7,32.8,-7.1,2019,NO,MEDIUM,66.9
223,YES,106.8,101.2,53.1,49.1,15.7,19.4,22.9,28.1,24.1,29.8,49.9,47.1,39.1,34.2,-5.7,2019,NO,LARGE,66
224,YES,106.2,105.1,50.4,49.4,16.8,17.9,30.6,26.2,31.8,31.6,51.3,48.1,32.6,33.9,-7.4,2019,NO,MEDIUM,66.4
225,NO,100.8,103.6,49,51.2,20,16.5,26.9,29.5,36.2,31.6,48.6,48.6,33.2,38.6,-9,2015,NO,MEDIUM,65
226,NO,109,109.2,52.3,53.5,18.4,16.1,30.1,30.5,38.1,34.6,51.7,52.8,35.5,36.5,-7.2,2015,NO,MEDIUM,67
227,NO,103.4,112,50.1,53.6,17.2,17.8,27.6,34.2,35.9,36.8,48.5,51.7,35.6,37.9,-14.7,2015,NO,SMALL,67.6
228,NO,102.1,113.6,50.9,56.9,19.5,19.4,26.9,31.4,38.1,48.4,48.4,57.3,37,37.6,-17.1,2017,NO,SMALL,73.8
229,YES,100.8,102.8,48.3,50.8,18,18.6,30.4,28.6,37.7,33.1,48.7,48.7,31.6,36.3,-7.7,2017,NO,MEDIUM,75.5
230,NO,98.9,107.8,50.8,53.9,18.1,17.5,24.5,26.8,27.4,32.3,49.8,54.2,34.9,35.7,-17.8,2017,NO,SMALL,63.8
231,YES,103.8,99.2,51.2,46.3,18.4,18.9,29.3,29.1,37.7,28.5,51.9,45.3,33.3,32.2,-3.6,2017,NO,LARGE,73.4
232,NO,101,112.8,49.1,53,16,16.4,26.3,31.4,25.9,29.1,49,53.5,32.8,34.6,-15.4,2017,NO,SMALL,73.1
233,NO,97.9,109.2,50.6,53,18.9,19.5,22.1,32.9,29.4,31.1,50.4,52.5,34,35.9,-16.7,2018,NO,SMALL,68.2
234,NO,101.1,114.5,47.6,58.7,19.4,19.4,34.7,29.9,28.4,39.8,46.5,57.4,33.2,40.8,-17.9,2018,NO,SMALL,72.4
235,YES,103.6,104.9,51.5,52.1,17.2,18.8,26.4,31.4,33.9,32.3,51.4,52.5,34.5,34.4,-8.4,2019,NO,MEDIUM,74.7
236,YES,106.3,100,51,53.1,17.3,20.1,30.8,25.9,35.1,28.6,50.4,52.1,34.6,36.5,-6.6,2019,NO,LARGE,66.6
237,NO,98.3,105,47,48.5,21.6,16.4,29.8,30.5,45,36.4,47.2,47,31.1,34.7,-12.2,2015,NO,MEDIUM,68.2
238,YES,104.2,97.2,49.9,47.6,20.4,19,34.2,27.8,40.9,33.1,47.3,48.1,36.5,31,-3,2015,NO,LARGE,62.5
239,NO,101,110.8,50.2,50.8,18.8,16,25.6,31.3,36.9,36.4,47.8,48.5,35.9,36.6,-14,2016,NO,SMALL,71.6
240,NO,99.3,99.1,51.8,46.6,21.5,16.8,29.6,28.4,31.5,33.5,48.1,46.4,39.2,31.3,-8.9,2016,NO,MEDIUM,66.9
241,NO,102.5,113.1,50.7,57.7,19.6,21.2,27.1,29.7,44.5,39.1,49,58.6,35.6,37.4,-11.6,2017,NO,SMALL,72.7
242,NO,100,105.8,49.7,52,18.4,20.2,27.9,31.8,29.1,34.8,47.1,50.4,36.1,36.1,-11.1,2017,NO,MEDIUM,70.3
243,NO,102,101.6,51.6,48.8,18.9,20.1,27.6,29.4,26,33.6,52.2,45.3,33.9,36,-8.9,2017,NO,MEDIUM,68.1
244,YES,105.4,105,52.3,49.7,19.3,17,31.2,28.5,33.9,26.3,51.8,49.6,35.5,33.2,-4.8,2017,NO,MEDIUM,69.2
245,NO,101,109.2,48.5,54.4,18.4,19.3,29.4,26.7,40.4,40,48.6,53.9,32.1,37,-11.6,2018,NO,SMALL,72.7
246,NO,107.9,113,52.4,54.2,17.8,18.2,27,29.4,24.5,32,49.9,51.6,37.2,38.4,-13.6,2018,NO,MEDIUM,71.1
247,YES,100.8,97.8,50.4,49,20.5,18.4,26.5,23.1,27.6,35.2,48.5,47.7,35.4,34.1,-6.8,2018,NO,MEDIUM,66.8
248,YES,102.5,105.2,52.7,52.4,18.8,17.7,25.4,26.7,31,33.8,55.3,53.4,32.8,33.7,-8.3,2018,NO,MEDIUM,70.2
249,NO,102.7,106.5,51.8,53,17.6,16,23.9,24.8,24.8,27.9,50.6,54.6,35.8,33.1,-12.9,2019,NO,MEDIUM,67.4
250,YES,105,99.4,53.3,50.2,22.6,17.5,28.7,23.1,31.6,33.8,52.7,49.6,36.1,34.2,-3.6,2019,NO,LARGE,68.4
251,YES,103.6,97.1,52.6,49.1,18.4,19,24.8,26.3,28.1,25.5,52.9,48.7,34.7,33.3,-5.1,2019,NO,LARGE,68.6
252,NO,101.4,101.3,44,45.2,20.4,14,42.1,26.5,35.5,33.4,43.1,41.9,30.7,35.1,-10.9,2015,NO,MEDIUM,66.7
253,YES,102.8,106.2,51.3,49.6,17.6,18.9,24.8,34.1,32.6,34.1,50,49.1,35.4,33.7,-7.1,2016,NO,MEDIUM,72.4
254,NO,92.8,107.3,44.9,49,21.1,16.9,32.8,31.3,34,35.5,46.2,46.4,28.2,35.7,-19.4,2016,NO,SMALL,66.8
255,NO,98.1,103.6,48.3,47.8,19.2,18.2,28.6,29.4,35.4,32.4,48.9,45.7,31.5,34,-14.1,2016,NO,MEDIUM,65.3
256,NO,95.1,101.3,47.7,47.8,19.5,17.7,30.4,26.3,35.1,31.7,47,45.7,32.7,34.1,-10.7,2016,NO,MEDIUM,65.7
257,NO,95.7,107.1,47.4,51.6,22.6,20,30.8,30.1,41,53.4,46.3,48.1,32.9,39.2,-15.7,2017,NO,SMALL,70.7
258,YES,102.2,95.5,51.2,48.1,17.3,20.9,25.5,25.9,33.1,29.2,47.3,48.4,38.1,31.9,-7.6,2017,NO,LARGE,62.6
259,NO,105.2,106.1,49.9,50.3,19.7,17.2,35.5,29.3,40,35.5,50.2,50,32.7,33.9,-10.2,2017,NO,MEDIUM,70
260,NO,98.5,111.8,52.7,52.6,21.7,14.8,22.6,29.8,35.8,29.8,53,50.8,34.9,36.9,-20.2,2018,NO,SMALL,70.5
261,NO,102.7,104.3,52.3,51.4,20.9,18.3,26.6,26.9,44.1,41.6,49.3,49.9,38.9,35.4,-13.7,2018,NO,MEDIUM,71.2
262,YES,107.8,113.9,50.8,52.6,15,15.5,30.9,31,38,29.5,49.2,50.2,35.8,38,-8.2,2018,NO,MEDIUM,74.7
263,NO,100.8,111,50.3,53.6,19.4,16.3,27.8,28.5,37,30.1,49.8,50.2,33.9,39.6,-16.3,2018,NO,SMALL,67.7
264,NO,92.7,102.3,45.8,51.1,20.6,21.2,29.3,28.5,40.3,43.2,46.4,48.4,29.7,35.8,-15.4,2019,NO,SMALL,68.9
265,NO,101.2,114.7,49.2,53.4,17.3,16.2,27.1,26.2,33.3,25.3,46.1,51.3,35.9,38,-15.5,2019,NO,SMALL,71.1
266,YES,100.2,104.6,50.6,53.7,18,22.8,30.8,27.4,39.9,36,50.4,53.6,34,35.9,-10.1,2019,NO,MEDIUM,75.1
267,YES,103.4,97.1,49.4,45.5,18.8,18.8,33.3,31.5,31.3,41,46.7,43.8,34.9,33,-6.9,2015,NO,LARGE,64.1
268,YES,113.2,105.1,54.5,51.7,15.1,19.7,28.8,30.9,36.6,36.2,53.7,51.7,36.9,34.4,-2.6,2015,NO,LARGE,64.6
269,YES,99.4,97.4,46.9,46.2,17.8,21.5,30.2,33.7,41.5,42.5,46.7,44,31.4,33.1,-6.3,2015,NO,MEDIUM,66.3
270,NO,100.1,103.3,47.6,51.8,21.7,21.4,36.4,31.1,47.1,40.9,47.2,52.5,32.2,33.9,-9,2015,NO,MEDIUM,62.8
271,YES,111.6,103.8,52.3,49.7,18.1,16.2,33.3,29.4,41.2,31,51.2,51,36.6,31.7,-5.1,2015,NO,LARGE,67.2
272,YES,105.7,105.2,51.3,51.9,18.1,18.9,29.8,30.4,42.7,36.7,49.9,51.1,35.9,35.4,-6,2015,NO,MEDIUM,65.4
273,YES,109,100.5,52.7,46.8,15.5,16.7,28.5,30.4,30.6,32.4,48,47.5,38.2,30.1,-1.4,2016,NO,LARGE,68.3
274,NO,110.3,108.3,51.7,51,13.6,15.9,26.5,31.5,30,35.2,50.8,50.7,35.2,34.4,-9.2,2016,NO,MEDIUM,67.4
275,YES,105.4,106.8,49,51,17.5,16.8,34.1,28,40,35.1,49,49.5,32.8,35.9,-7,2016,NO,MEDIUM,68.2
276,YES,110.1,106.5,54.2,49.6,16.9,14.5,24.9,25.8,37.4,33.5,52.3,47.1,38.2,36.4,-5.3,2016,NO,MEDIUM,70.7
277,NO,99.8,105.8,48,53.1,17.3,20,28.5,28.2,35.8,34.2,46.5,53.3,34.1,35.2,-12.9,2017,NO,MEDIUM,71.5
278,YES,103.5,102,50.7,48.2,19.8,17.5,33.2,29.2,37.3,42.9,51.4,45.8,33,35.1,-8.3,2017,NO,MEDIUM,72.4
279,YES,105.2,105.1,50.9,54,17.6,18.3,31.1,26.5,35,34.2,48.2,53.9,38.3,36.1,-9.2,2017,NO,MEDIUM,69.3
280,NO,102.4,107.5,51.5,54.2,19.8,18.5,27,28.3,31.4,39.1,49.9,54.1,35.6,36.1,-12.1,2018,NO,MEDIUM,68.9
281,YES,102,102.7,51.4,49.4,18.4,16.7,28,27.5,33.2,30,51.7,46.3,33.9,36.6,-6.8,2018,NO,MEDIUM,71.1
282,YES,109.5,109.4,51,52.5,17,17.9,31.1,31,33.7,27.2,50.5,53.1,34.4,34.5,-9.1,2018,NO,MEDIUM,68.3
283,YES,101.3,99.1,51.4,47.5,18.7,20.1,30.4,32.7,29.2,31.6,52,44.6,33.6,34.6,-6.6,2018,NO,MEDIUM,66
284,YES,101.7,105.8,48.7,51.1,18.7,18,31.4,30.5,32.5,33.4,48.8,51.2,32.4,33.9,-10.5,2018,NO,MEDIUM,69.8
285,YES,105.3,108,49.3,54.2,15.6,19.7,29.7,27.2,34.1,33.7,48,52.5,34.5,37.6,-9.5,2018,NO,MEDIUM,68.9
286,YES,107.5,102,50.5,50.8,16.6,17.8,30.7,24.8,34.9,31.1,48.8,50,35.8,34.6,-4.3,2019,NO,LARGE,71.5
287,YES,109.2,105.3,51.4,50.1,16.2,18.7,31,33.1,40,28.8,48.9,53.6,36.9,29.3,-4,2019,NO,LARGE,72.4
288,YES,101.4,101.5,48.5,50.8,20.8,20.1,34.3,34.9,33.9,32,50.5,50.4,29.9,34.2,-8.1,2019,NO,MEDIUM,64.4
289,YES,109,106,49.6,52.7,16.4,19,33.2,30.6,31.8,35.9,49.1,53.2,33.6,34.7,-2.7,2019,NO,MEDIUM,68.9
290,YES,106.6,104.8,52.6,51.9,17.2,17.9,27.2,26.7,26.5,39.1,51.6,50,36.5,36.1,-8.9,2019,NO,MEDIUM,67.3
291,NO,98.4,100.5,48.6,50.8,20,18.5,28.2,27.4,33.2,31.2,50.7,48.9,29.7,35.9,-8.7,2019,NO,MEDIUM,70.8
292,YES,108.6,97.8,53.2,46.8,17.4,15.4,28.1,25.7,26.1,26.8,50.4,46.6,38,31.5,-0.1,2019,NO,LARGE,69
293,NO,92.4,111.3,40.2,53.3,16.2,21.6,34.8,33.8,33.1,43.2,39.1,52.9,28.4,36.1,-18.5,2015,NO,SMALL,65
294,NO,82.9,107,44.8,50.3,22.5,20.3,25.4,31.2,42.5,38.5,44.4,50.4,30.4,33.3,-18.3,2016,NO,SMALL,70.4
295,NO,92.2,108.8,43.6,49.2,20.3,18.9,32.6,35.8,48.5,36.6,43.4,48.6,29.5,33.5,-16.1,2016,NO,SMALL,71.5
296,NO,103.4,112,48.7,50.2,17.7,19.1,32.2,34.3,41.5,41.9,46.7,46.1,34.7,38,-11,2016,NO,SMALL,68.4
297,YES,101.8,112.6,49.8,50.7,17,17.5,29.1,31.4,34.8,38.7,49.6,49.9,33.6,34.6,-9.5,2016,NO,SMALL,68.5
298,NO,91.7,116.6,43.9,54.4,19.1,18.9,28,33.1,40,40,41.7,55,31.7,35.6,-17.8,2017,NO,SMALL,70
299,NO,93.9,113.5,47.8,52.3,19.6,20.3,28.5,37.2,30.1,39.1,44.7,52.6,35.1,34.7,-17.4,2017,NO,SMALL,67.3
300,NO,92,106.6,46.1,49.6,19.6,19.9,30.6,29.3,33.4,42.7,45,47.5,32.2,35.6,-12.5,2017,NO,SMALL,69.5
301,NO,91.6,105.6,42.5,48.9,19.8,20.1,34.8,31.2,37.8,41.5,42,51.7,29.2,28.9,-13.1,2017,NO,SMALL,69.2
302,NO,95.2,124,47.6,53.1,21.7,14.3,31.8,32.9,33.4,38.9,47.3,50.1,32.2,38.3,-25.2,2017,NO,SMALL,64.6
303,NO,99,113.9,49.5,52.9,17.8,19.3,27.6,35.8,32.3,31.7,52,55.9,31.8,32.6,-11,2017,NO,SMALL,83.3
304,YES,98.6,110.9,49.5,48.6,20.3,17.6,32.9,30.5,41.2,38.2,51,47.6,31.2,33.6,-11.4,2018,NO,SMALL,76.9
305,NO,90.3,119.2,47.3,55.9,22.8,18.2,29.3,33.7,28.5,35.7,46.1,53.8,33.2,38.9,-24.1,2018,NO,SMALL,66.2
306,NO,90.1,117.5,43.1,54.7,19.4,16,28.2,34.7,29.7,31.8,44.3,54.3,27.5,36.8,-19.3,2018,NO,SMALL,66.4
307,YES,96.8,111.9,51.2,51.5,19.5,18,27.8,28.6,37.5,31.5,54.3,52.5,30.3,33.1,-10.3,2018,NO,SMALL,70.1
308,NO,87.5,109.2,45.5,50.2,23.3,16.7,26,28.9,37.7,33.6,47.7,47.1,28.6,36.5,-18.1,2019,NO,SMALL,71.7
309,NO,85.7,114.4,43.5,54.4,20.7,19,22.8,31.7,28.3,36.6,44.5,53.2,27.9,37.3,-19.9,2019,NO,SMALL,64.5
310,NO,94.6,117.1,48,53.8,19.9,19.3,28,34.6,25.2,33.3,53.7,53.5,29.2,36.1,-15,2019,NO,SMALL,77.7
311,NO,91.9,98.1,42.3,50.3,20.4,21.9,32,29,37.8,46.2,40.7,47.2,30.1,36.9,-15.2,2015,NO,MEDIUM,62.4
312,YES,104,99.7,52.1,49.4,19.3,19.9,25.8,28,44.3,31.4,51.8,47.5,35.4,35.5,-4.7,2015,NO,LARGE,66.4
313,YES,106.2,94.5,48.4,47,19.9,20.5,36.2,29.3,34.8,40.3,46.8,45.9,34.4,32.8,-2.8,2015,NO,LARGE,65.4
314,NO,98.1,100.5,45.7,51.4,20.8,21.3,31.4,26.2,41,40.8,44.3,48.2,33.3,38.1,-13.2,2015,NO,MEDIUM,62.8
315,NO,86.1,100.9,43,49.7,25.4,17,24.9,26.7,38.3,52.2,43.9,48.7,27.7,34.5,-17.7,2016,NO,SMALL,68.1
316,YES,105.7,97.3,53.4,45.9,18.2,18.4,24.5,25,46.9,29.4,53.2,44.4,35.9,32.6,-1.4,2016,NO,LARGE,69.5
317,YES,105,102.5,51.1,50.9,19.4,21.3,31.7,25.6,39.3,44.9,51,52.6,34.3,31.8,-3.3,2016,NO,MEDIUM,70.5
318,NO,96.5,102.1,48.5,48.9,21.9,18.4,26.3,29.4,42.1,40.9,46.1,46.8,35.3,34.7,-11.2,2017,NO,MEDIUM,69
319,NO,102.6,110,48.1,53.1,17.6,17.6,26.8,31.5,29.1,30.7,45.3,52,34.6,36.8,-15.8,2017,NO,MEDIUM,71
320,YES,105.9,102.2,48.8,49.6,17.9,18.5,27.1,27.1,45.8,40.9,47.2,47.9,36.9,34.9,-8.9,2017,NO,LARGE,68
321,YES,107.5,92.2,51.4,44,18.6,19,30.4,28.5,29.9,32.6,48.6,41.1,37,32.5,1.8,2017,YES,LARGE,66.2
322,NO,98.4,100.5,47.8,47.9,17.8,17.8,22.4,29.3,30.8,42.8,45.8,44.2,33.9,37.3,-11.8,2017,NO,MEDIUM,71.1
323,YES,107.3,100.9,55.3,51.8,17.3,20.9,20.6,25.8,30.8,33.5,53.5,49.6,38.9,37.3,-7.2,2017,NO,LARGE,67.1
324,YES,102.1,103.1,47.7,52.2,17.6,20.3,29.5,31.4,35.4,33.6,47.9,48.2,31.6,39.4,-7.2,2017,NO,MEDIUM,66.8
325,YES,105.6,103.8,50.4,51.6,17.2,16.9,23.6,27.9,32.3,24.5,48.4,52.3,35.6,33.6,-8.1,2018,NO,MEDIUM,69.3
326,NO,101.5,101.5,50.8,48.5,21.2,19.5,26.7,28,36.7,44.1,50.5,48.6,34.1,32.2,-9.7,2018,NO,MEDIUM,70.9
327,NO,98.1,105.6,49.4,50,18.5,17.1,18.9,26.2,37.5,37.5,47.9,49,34.2,34.8,-14.5,2019,NO,MEDIUM,71
328,YES,101.1,104.3,48.6,51.5,18.6,19.4,23.7,27.2,35.8,38,46.7,52.1,35.6,33.7,-9.5,2019,NO,MEDIUM,70.2
329,YES,102,102.2,52.8,49.6,21,19.1,28.8,29.2,32,25.6,51.2,47.6,37.4,35.1,-8.2,2019,NO,MEDIUM,67.2
330,NO,105,110.2,53.6,53,19.2,20.2,29.6,32.6,30.8,35.5,53.9,51.5,35.4,36.6,-10.2,2015,NO,MEDIUM,61.6
331,NO,100.6,103.8,47.1,49.4,17.2,20.3,25.9,32.7,38.8,44.3,47.2,48,31.3,34.8,-9.4,2015,NO,MEDIUM,65.3
332,YES,104,90.3,47.2,42.5,18.4,18,33.9,27.2,42.5,31.3,46.3,41.6,32.6,29.4,0.1,2016,YES,LARGE,65.9
333,NO,96.3,102.4,46.8,49.6,19.2,17.2,27.1,29.7,38.5,47.5,48.2,47.9,29.8,35.4,-15.4,2016,NO,MEDIUM,70.6
334,YES,103.2,98,49.7,47.1,18.9,19.5,28.3,30.6,40.9,40.1,50.1,46.1,32.8,32.7,-6.3,2016,NO,LARGE,73.6
335,NO,110.3,106.1,52.2,51.1,17.5,16.5,29.2,28.7,33.6,33.2,49.2,50.1,37.9,35.2,-7.4,2016,NO,LARGE,67.7
336,NO,108.3,108,53.4,50.1,17,15.8,18.1,30.4,45.9,39.1,50.8,48.4,37.2,35.4,-10.6,2016,NO,MEDIUM,65.6
337,YES,105.2,100.7,50.2,50.6,18.4,19,27,27.8,46,37.7,50.7,47.5,32.7,36.9,-5.4,2017,NO,LARGE,70.4
338,NO,99.7,104,48.6,51.8,18.2,18.9,24.9,26.1,36.1,40.3,47.7,52,33.7,34.3,-9,2017,NO,MEDIUM,72.1
339,NO,95.5,106.9,48.6,53.2,23.6,14.9,27.8,24.8,34.2,30.8,46.2,53.3,36.2,35.4,-18.5,2018,NO,SMALL,68.3
340,YES,107,99.1,54.5,48.5,18.2,19.5,27.4,25.4,30.2,35,51.9,50.2,38.2,30.7,-2,2019,NO,LARGE,69.2
341,YES,102.3,96.8,49.9,48.2,18.3,18.8,28.9,28.4,35.2,33.3,47.9,47.2,35.6,33,-4.2,2019,NO,LARGE,68
342,NO,94.2,106.6,49.1,51.7,19.9,17.4,15.9,28.8,39.1,34.4,47.1,51.6,34.5,34.6,-17.6,2019,NO,SMALL,69.9
343,NO,97.9,101.8,50.1,49.5,19.4,20.6,25.7,31.4,34.6,30.1,50.3,50,33.1,32.4,-10.3,2015,NO,MEDIUM,63.1
344,NO,96.1,110.1,44.6,53.4,20.1,19.8,37.2,30.3,33.9,53.3,44,51.7,30.6,37.7,-15.4,2015,NO,SMALL,67.6
345,NO,93.3,113.1,47.3,51.5,19.9,16,26.2,33.5,26.9,31.6,46.9,53.1,32,32.7,-17.7,2016,NO,SMALL,68.2
346,NO,92.1,100.9,45.8,50.2,17.2,24.6,25.3,33.7,30.6,40.4,44.8,50.1,31.7,33.7,-13.9,2016,NO,SMALL,69.8
347,NO,90.4,104.9,46.6,49.4,20.4,22,26.1,34.7,35.5,32.9,49.6,48.9,27.6,33.5,-17.3,2016,NO,SMALL,69.1
348,NO,99.6,113.2,48.3,50.8,18.5,16.4,31.5,30.8,38.5,29.9,45.3,52.3,35.8,32.1,-13.5,2016,NO,SMALL,67
349,YES,99.6,101.4,47.6,46.8,19.6,20.7,36.9,27.5,32.6,44.3,46.4,45.6,33.6,32.7,-7,2016,NO,MEDIUM,66.7
350,NO,91.5,99,45.1,48.4,21.5,23.7,29.3,31.3,41.3,42.5,43.8,50,31.9,29.8,-13.5,2017,NO,SMALL,70.2
351,NO,86.7,111.6,41,52.7,17.4,20,27.9,33.4,31.8,46.9,40.1,52.2,28.2,36,-22.5,2017,NO,SMALL,68.5
